Species	Temperature	Oscillation	Dish	Germinated	Germinable
TUGU	20C	alternate	B	1	25
TUGU	20C	alternate	C	0	22
TUGU	20C	alternate	D	1	24
TUGU	20C	constant	A	3	25
TUGU	20C	constant	B	0	24
TUGU	20C	constant	C	6	25
TUGU	20C	constant	D	4	23
TUGU	25C	alternate	A	1	23
TUGU	25C	alternate	B	0	21
TUGU	25C	alternate	C	1	22
TUGU	25C	alternate	D	1	20
TUGU	25C	constant	A	1	25
TUGU	25C	constant	B	0	23
TUGU	25C	constant	C	0	24
TUGU	25C	constant	D	0	25
